Date,Portfolio_Dollar_Value
2023-10-23,1555828.825436485
2023-10-24,1569039.333235728
2023-10-25,1550791.8124016563
2023-10-26,1551493.5767942625
2023-10-27,1535356.4283488772
2023-10-30,1548056.6062427002
2023-10-31,1559966.5908422738
2023-11-01,1563672.962455051
2023-11-02,1605078.0250689404
2023-11-03,1618831.5160411296
2023-11-06,1615565.2159499773
2023-11-07,1608016.2575450875
2023-11-08,1611575.0982252166
2023-11-09,1600990.2562017357
2023-11-10,1625185.6448334423
2023-11-13,1628823.5523405562
2023-11-14,1668816.5580540765
2023-11-15,1670076.8326771262
2023-11-16,1661427.5502863417
2023-11-17,1672546.4279114446
2023-11-20,1680960.5363963854
2023-11-21,1675861.8877869134
2023-11-22,1683149.0141830137
2023-11-24,1687907.641796913
2023-11-27,1685851.4743885435
2023-11-28,1679632.43660885
2023-11-29,1685407.6651291584
2023-11-30,1697362.6747298145
2023-12-01,1721786.700283172
2023-12-04,1720480.5896176097
2023-12-05,1704848.738344042
2023-12-06,1704097.472628308
2023-12-07,1716950.2089422029
2023-12-08,1728196.3890027823
2023-12-11,1749925.8252240915
2023-12-12,1755485.9664627556
2023-12-13,1791614.124985767
2023-12-14,1811501.683954922
2023-12-15,1803495.3070818621
2023-12-18,1806600.2025322223
2023-12-19,1818251.0370234216
2023-12-20,1789073.2120424344
2023-12-21,1807055.1793420329
2023-12-22,1811387.1103940178
2023-12-26,1826592.9493743884
2023-12-27,1829527.578720846
2023-12-28,1829445.3514250247
2023-12-29,1825172.6349571142
2024-01-02,1820336.1396162184
2024-01-03,1796182.208538297
2024-01-04,1790073.2101256684
2024-01-05,1796153.222386778
2024-01-08,1817502.7651677807
2024-01-09,1808933.844357588
2024-01-10,1810438.0563923817
2024-01-11,1809802.3975554786
2024-01-12,1808039.7592413123
2024-01-16,1796274.2759034552
2024-01-17,1783168.5733293619
