Date,Portfolio_PnL
2025-01-07,-10586.522550309077
2025-01-08,1766.33099372359
2025-01-10,-23590.10298070684
2025-01-13,18882.39152747672
2025-01-14,18312.52323102299
2025-01-15,24477.625809769146
2025-01-16,20260.300045680255
2025-01-17,9759.568582775071
2025-01-21,40174.0878113457
2025-01-22,-6130.5609581298195
2025-01-23,3095.2680545696057
2025-01-24,1182.1620199028403
2025-01-27,-43148.312336959876
2025-01-28,-9292.345842301846
2025-01-29,-1212.1160489362665
2025-01-30,32615.53218962159
2025-01-31,-11111.120256271679
2025-02-03,-16206.166383516043
2025-02-04,8160.466322367545
2025-02-05,10283.474093486555
2025-02-06,26245.790230318904
2025-02-07,-20316.752531225793
2025-02-10,273.5551743344404
2025-02-11,1804.5360115063377
2025-02-12,-14089.783271271735
2025-02-13,12071.792003480718
2025-02-14,-8636.682508908678
2025-02-18,16409.841419200413
2025-02-19,11185.775436365977
2025-02-20,-17227.909590553027
2025-02-21,-42168.83321572747
2025-02-24,-9490.226682118606
2025-02-25,5445.369245836977
2025-02-26,13943.872765534557
2025-02-27,-28387.762070370838
2025-02-28,30626.242351308465
